fiscal_year,source_locator,major_no,major_title,item_no,proposal_text
2021,2021-15-03,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,3,障害者のスポーツ実施率（現在２０％）を１年後の目標７０％に近づけるための実施率向上の施策。
2021,2021-15-04,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,4,市内の障害者のスポーツ実施率の新規調査。
2021,2021-15-05,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,5,スポーツ文化関係の事業は、これまでの成果や効果を検証し、スクラップ＆ビルドを心がけること。
2021,2021-16-01,16,多様な個性・価値観と人権が尊重されるまち,1,市長公約「ダイバーシティとインクルージョン推進」を受けた、人種・民族および性的少数者等への差別禁止の条例化に向けた審議会設置。
2021,2021-16-02,16,多様な個性・価値観と人権が尊重されるまち,2,「多文化共生」担当の経済局から市民局への組織改編。
2021,2021-17-01,17,暴力を許さないドメスティック・バイオレンス対策の充実強化,1,ＤＶ被害者への安全確保と自立生活に向けた支援の充実については、民間シェルターへの支援充実と連携強化を図り、ひとり親家庭等への支援施策との連携強化を図ること。
2021,2021-18-01,18,エネルギーの地産地消の推進とみどり豊かな都市の創造,1,電力の入札評価に価格以外の再生可能エネルギー利用率や再生可能エネルギー利用量などの視点を評価する総合評価方式を取り入れること。
2021,2021-18-02,18,エネルギーの地産地消の推進とみどり豊かな都市の創造,2,再エネ 100 宣言 RE Action を進めていくためにも東日本連携等で広域的再生可能エネルギー電力供給 100％のまちづくりを目指す。
2021,2021-18-03,18,エネルギーの地産地消の推進とみどり豊かな都市の創造,3,SDGs の理念を生かし食品ロス削減に向けた「フードシェア・マイレージ」事業を全区で実施し、浸透させること。
2021,2021-19-01,19,災害時に命と暮らしをまもる地区防災力の強化向上,1,災害時要配慮者安全確保対策の要員として助産師が積極的に活動できるよう助産師会と担当部局との定期的な協議会の実施。
2021,2021-19-02,19,災害時に命と暮らしをまもる地区防災力の強化向上,2,内水氾濫を制御するため、水のうを利用した道路・公園等への一時貯留のモデル事業の実施。
2021,2021-20-01,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,1,自転車を活用したまちづくりを推進するための拠点施設「サイクルパーク」の整備。
2021,2021-20-02,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,2,まちづくりビジョン市民案を踏まえた西浦和駅周辺のまちづくりの更なる推進。
2021,2021-20-03,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,3,高齢者・障害者等の移動支援の拡充。
2021,2021-20-04,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,4,免許返納者への支援事業（タクシー券の配布やバスの無料券の配布など）。
2021,2021-20-05,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,5,エレベーターの整備可能な公民館１７館について、誰もが安心して利用できるバリアフリーな公民館を目指し、速やかにエレベーターの整備を完了させること。
2021,2021-20-06,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,6,市内鉄道（JR・東武・ニューシャトル）全駅におけるトイレ、エレベーターの設置及び駅の無人化解消に向けた対策を講じること。
2021,2021-20-07,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,7,国土交通省の踏切安全通行カルテや地元要望等に基づく危険な踏切の改良促進、及び乗馬踏切、工場裏踏切、末広踏切における改良道促進協議会を積極的に開催し、早急な安全対策の実施。
2021,2021-20-08,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,8,岩槻区の産業集積拠点・見沼区の（仮称）農業及び食の流通・観光産業拠点の整備に合わせて、国道１６号線の立体交差化の実施。
2021,2021-20-09,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,9,地下鉄７号線延伸に向けた事業として、空き家解消重点地区と建物解体補助制度の創設。
2021,2021-21-01,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,1,荒川河川敷の公園群の回遊性を向上させ、日本有数の大規模都市公園として県内外に発信し、観光地化を推進すること。
2021,2021-21-02,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,2,沼影県職員住宅跡地利用については、身近な公園の早期整備ができるよう埼玉県との協議を速やかに終えること。
2021,2021-21-03,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,3,生産緑地問題については、そのエリアの特性に合わせて整理されていくよう努力すること。
2021,2021-21-04,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,4,森林環境譲与税について、荒川流域など県内の他の自治体との間での連携・協力などの中で使用すること。
2021,2021-21-05,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,5,途切れのないサイクリングロードの整備（元荒川右岸等）。
2021,2021-21-06,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,6,宮ヶ谷塔に予定の屠畜場「道の駅」の環境アセスメントの実施。
2021,2021-22-01,22,さいたま市の特徴・強みを活かした経済活性化,1,設計労務単価の上昇が確実に建設労働者の賃金に反映したか実態を把握するため、市発注公共事業の建設労働者に支払われる賃金を抽出調査すること。
2021,2021-22-02,22,さいたま市の特徴・強みを活かした経済活性化,2,スポーツシューレに必要不可欠な宿泊・研修施設を備えた拠点整備に向けた検討。
2021,2021-22-03,22,さいたま市の特徴・強みを活かした経済活性化,3,周辺のまちづくりと連携した田島産業集積拠点の整備促進。
2021,2021-22-04,22,さいたま市の特徴・強みを活かした経済活性化,4,新しい働き方をデザインする超短時間雇用ＩＤＥＡモデルの研究とさいたま市での反映。
2021,2021-22-05,22,さいたま市の特徴・強みを活かした経済活性化,5,大宮駅東口の公共施設再編による跡地利用やＧＣＳ構想の早期実現。
2021,2021-22-06,22,さいたま市の特徴・強みを活かした経済活性化,6,「さいたまシティカップ」は廃止を含め、「サッカーのまちづくり」への貢献の視点から、抜本的な見直しを行うこと。
2021,2021-23-01,23,ユニバーサル農業の推進による、さいたま市ブランドを活かした都市農業の振興,1,学校給食における市内産野菜・米の地産地消率を向上させるため数値目標を設定すること。
2021,2021-24-01,24,議会の「見える化」の推進を,1,傍聴のできるキッズルーム、電動車椅子席の設置、及び傍聴席のバリアフリー化。
2022,2022-01-01,1,行政の透明化推進と情報発信の充実強化,1,指定管理者・外郭団体等も対象とする（仮称）公文書管理条例の策定と公共施設再編と合わせた公文書館機能を導入すること。
2022,2022-01-02,1,行政の透明化推進と情報発信の充実強化,2,保管場所の縮小・保存期間の延長や保存対象の拡大を行うため、歴史資料としてそれ自体に価値があると評価できる媒体を除いた上で紙とマイクロフィルムでの保管を原則中止、既存の資料をデジタル化、データでの保管に切り替えること。
2022,2022-01-03,1,行政の透明化推進と情報発信の充実強化,3,市史編さんに合わせて、資料を積極的に収集し、監修者を定め、その責任のもとで編さんすること。
2022,2022-02-01,2,持続可能な行財政運営とコンプライアンスの徹底,1,自治体ＤＸを推進し、ワンストップの市民まるごとオンライン相談窓口の設置すること。
2022,2022-02-02,2,持続可能な行財政運営とコンプライアンスの徹底,2,オープンデータの取り組みをさらに推進し、民間のアプリ開発や、研究を促す仕組みづくりを行うこと。
2022,2022-02-03,2,持続可能な行財政運営とコンプライアンスの徹底,3,桜区における生活保護費不正事件の全容解明のため、積極的に調査し、不正支給に関しては、ケースワークの管理体制を構築し、再発防止策を徹底すること。
2022,2022-02-04,2,持続可能な行財政運営とコンプライアンスの徹底,4,職員の「働き方改革」による業務大幅見直しをすること。
2022,2022-02-05,2,持続可能な行財政運営とコンプライアンスの徹底,5,ジェンダー平等に向けた推進体制の強化のために、人員を増加し、専管組織として所管課を設置するとともに、職員研修を充実させること。
2022,2022-03-01,3,「学びのチカラ日本一」に向けた学校教育環境の充実および地域・家庭との連携,1,学習支援のチャレンジスクールのオンライン実施を試験的に行うこと。
2022,2022-03-02,3,「学びのチカラ日本一」に向けた学校教育環境の充実および地域・家庭との連携,2,オンライン授業受講者を出席扱いとすること。それを実現するための関係機関への働きかけを行うなど環境整備をすること。
2022,2022-03-03,3,「学びのチカラ日本一」に向けた学校教育環境の充実および地域・家庭との連携,3,修繕の追い付かない学校施設の問題を根本的に解決するため、建替えを含めた整備を行うこと。
2022,2022-03-04,3,「学びのチカラ日本一」に向けた学校教育環境の充実および地域・家庭との連携,4,感染状況に応じて、スクール・サポート・スタッフを臨機応変に配置すること。
2022,2022-03-05,3,「学びのチカラ日本一」に向けた学校教育環境の充実および地域・家庭との連携,5,バリアフリー法改正を受けて学校トイレ・スロープ・エレベーターの設置を推進すること。
2022,2022-04-01,4,すべての子どもと若者に夢とチャンスを,1,児童センターを活用した中高生居場所支援の充実のため、次回の更新時に、事業内容と予算を含んだ指定管理を行うこと。
2022,2022-04-02,4,すべての子どもと若者に夢とチャンスを,2,外国ルーツの未就学児と保護者に対する支援策の創出と日本語指導コーディネーターの機能を拡充すること。
2022,2022-04-03,4,すべての子どもと若者に夢とチャンスを,3,市立特別支援学校（知的障害）を設置すること。
2022,2022-04-04,4,すべての子どもと若者に夢とチャンスを,4,特別支援学級の教育・療育内容をさらに充実させること。
2022,2022-05-01,5,社会全体で子育てを支えるまち,1,学習支援教室については、地域のニーズに合わせて教室の設置箇所を増やすなど支援の量と質・進路指導の充実をはかり、各種支援へとつなぐこと。
2022,2022-05-02,5,社会全体で子育てを支えるまち,2,不登校の児童・生徒に対しては、その数など地域特性に応じて、多様な教育の追求（広島県の「スペシャルサポートルーム」や宮城県「学び支援教室」などを参考とする事業の実施、フリースクールを利用する児童・生徒への助成制度の創設）、スクール・ソーシャル・ワーカーを加配する等、さまざまな社会資源の活用と関係機関との連携で児童・生徒に個別最適化された支援を行うこと。
2022,2022-05-03,5,社会全体で子育てを支えるまち,3,助産師や大学生などの外部人材を活用し、学校教育として包括的性教育を全校で実施すること。
2022,2022-05-04,5,社会全体で子育てを支えるまち,4,児童養護関係施設について、職員同士の相互チェックが働かなくなることで生じる虐待事案の発生を未然に防止する体制を整えない限り、安易に小規模化を進めないこと。
2022,2022-05-05,5,社会全体で子育てを支えるまち,5,北部児童相談所・一時保護所の新設について県有地を含めて検討すること。
2022,2022-05-06,5,社会全体で子育てを支えるまち,6,ＰＴＡからの寄附金等を軽減するよう本来公費で負担すべき学校運営費を算定するなど東京都の「義務教育学校運営費標準」を参考に設定すること。また、学校運営費の大幅な増額を図ること。
2022,2022-05-07,5,社会全体で子育てを支えるまち,7,放課後に学校以外の場で将来の自立に向けて生き抜く力を育む「子ども第三の居場所」を複数設置すること。
2022,2022-06-01,6,「待機児童ゼロ」を目指した保育施設の拡充,1,認可保育所の運営費補助において、離職率の評価を行い、人件費に限定した補助額を拡充すること。
2022,2022-07-01,7,放課後児童クラブの施設、環境の充実,1,国の補助金を最大限活用できる制度設計に切り替えるとともに、それによって運営ができなくなる施設を出さないため、配慮すること。
2022,2022-07-02,7,放課後児童クラブの施設、環境の充実,2,公有地、公有施設及び学校の余裕教室をさらに活用すること。
2022,2022-07-03,7,放課後児童クラブの施設、環境の充実,3,クラブ運営事務に関する保護者負担の軽減のために補助をすること。
2022,2022-07-04,7,放課後児童クラブの施設、環境の充実,4,Ｗｉ－Ｆｉ環境を整備すること。
2022,2022-08-01,8,子どもの権利・健康・安全対策の拡充,1,（仮称）子ども条例制定も視野に入れ、市民に意見聴取すること。
2022,2022-08-02,8,子どもの権利・健康・安全対策の拡充,2,通学路への防犯カメラを増設すること。
2022,2022-09-01,9,生涯に渡って学びたいときに学べる場の提供,1,公民館の事業費の増額、セキュリティーを考慮して、公民館全職員への端末の増設と公民館全館へのＷｉ－Ｆｉ設置をすること。
2022,2022-09-02,9,生涯に渡って学びたいときに学べる場の提供,2,東清掃事務所跡地への公民館を新設すること。
2022,2022-10-01,10,歳を重ねても障害があっても地域で暮らせるまち,1,手話通訳者の養成を拡充し、専門職としての位置づけを明確にし、聴覚障害者の社会生活を保障すること。
2022,2022-10-02,10,歳を重ねても障害があっても地域で暮らせるまち,2,「重度障害者の就労支援事業」に視覚障害者向けの同行支援や職場勤務を対象に含むなど制度拡充に取り組むこと。
2022,2022-11-01,11,地域医療体制の充実,1,新型コロナ感染再拡大への地域医療体制・保健所機能を強化すること。
2022,2022-11-02,11,地域医療体制の充実,2,自宅療養者へ食料支援及び訪問診療体制の確立をすること。
2022,2022-11-03,11,地域医療体制の充実,3,医療用ウイッグの助成制度の創設に対する検討内容及び助成制度に対する見解を明確にすること。
2022,2022-11-04,11,地域医療体制の充実,4,国のがん検診指針にない市独自のがん検診の廃止を含めて検討すること。
2022,2022-11-05,11,地域医療体制の充実,5,市が実施する地域医療政策は医師や医療機関の個別の登録制にし、それに基づいて事業を委託等すること。
2022,2022-12-01,12,障害者医療・介護の充実と社会参加への支援,1,精神障害者福祉手帳２級所持者に対して、１級と同様に通院及び入院費用の早期の助成を実現すること。
2022,2022-12-02,12,障害者医療・介護の充実と社会参加への支援,2,精神障害者２級手帳保持者のタクシー券を配布すること。
2022,2022-12-03,12,障害者医療・介護の充実と社会参加への支援,3,さいたま市立病院に総合心療科の初診外来および精神科を創設すること。
2022,2022-12-04,12,障害者医療・介護の充実と社会参加への支援,4,障害者政策委員会での検討状況を踏まえた手話言語・障害者コミュニケーション条例を策定すること。
2022,2022-12-05,12,障害者医療・介護の充実と社会参加への支援,5,ケアラー支援について関係条例設置や専門部署の設置（高齢・障害・児童・教育ほか部局横断）、相談窓口の設置。各種支援策に着手また拡充すること。
2022,2022-12-06,12,障害者医療・介護の充実と社会参加への支援,6,成年後見制度の利用促進に向け、市民後見人の養成および市民後見活動との連携強化を図ること。
2022,2022-13-01,13,貧困をなくすため生活困窮者への自立支援政策の強化・拡充,1,生活自立・仕事相談センターの機能強化と相談員の増員や待遇改善。また、相談者に対し住宅等の長期的対応をすること。
2022,2022-13-02,13,貧困をなくすため生活困窮者への自立支援政策の強化・拡充,2,ひとり親家庭の抱える問題を解決するため、児童扶養手当受給世帯の実態調査を行い、子どもの貧困対策アクションプランを策定すること。
2022,2022-13-03,13,貧困をなくすため生活困窮者への自立支援政策の強化・拡充,3,生活困窮者対策として福祉事務所のオンライン相談及び生活保護のオンライン申請を可能とすること。
2022,2022-13-04,13,貧困をなくすため生活困窮者への自立支援政策の強化・拡充,4,女性の生活困窮者支援として、生理の貧困対策を恒常的に行うこと。
2022,2022-14-01,14,産前・産後ケアに対する施策の充実,1,産婦新生児訪問事業・産後ケア訪問事業・思春期保健事業等の委託契約の増額、及び、産後ケア施設整備（助産院）等への助成をすること。
2022,2022-14-02,14,産前・産後ケアに対する施策の充実,2,産後ケア事業における利用者の自己負担軽減、及び、母乳相談無料券を配布すること。
