fiscal_year,source_locator,major_no,major_title,item_no,proposal_text
2022,2022-14-03,14,産前・産後ケアに対する施策の充実,3,次世代育成・子育て支援の拠点・災害時の母子救護所を兼ね備えた家族入院のできるさいたま版ネウボラ（産前・産後ケアセンター）を設置すること。
2022,2022-14-04,14,産前・産後ケアに対する施策の充実,4,思いがけない妊娠や妊娠葛藤期のための相談窓口を市独自として設置すること。
2022,2022-14-05,14,産前・産後ケアに対する施策の充実,5,低出生体重で産まれた子とその家族のための母子手帳と併用できるリトルベビーハンドブックを導入すること。
2022,2022-14-06,14,産前・産後ケアに対する施策の充実,6,多胎児の現状調査と支援を拡大すること。
2022,2022-15-01,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,1,公共プールの再編と沼影市民プールの代替え地を検討すること。
2022,2022-15-02,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,2,文化芸術都市創造条例に基づき、東日本の玄関口としてふさわしい大宮のまちづくりの中で、多くの人が訪れ、文化芸術に触れる事のできる拠点を整備すること。
2022,2022-15-03,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,3,屋内スポーツ施設（スケートパーク等）の整備及びアーバンスポーツを推進すること。
2022,2022-15-04,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,4,市内の障害者スポーツ実施率の市独自の調査を行い、障害者のスポーツ実施率を令和７年度の目標値に近づけるための施策を実施すること。
2022,2022-16-01,16,多様な個性・価値観と人権が尊重されるまち,1,市長マニフェスト「人権尊重と多文化共生の地域社会を目指す」の具現化として、人種・民族差別禁止と被害相談・救済措置を盛り込んだ条例を制定すること。
2022,2022-16-02,16,多様な個性・価値観と人権が尊重されるまち,2,「多文化共生施策」での経済局と市民局が連携して取り組むこと。
2022,2022-16-03,16,多様な個性・価値観と人権が尊重されるまち,3,パートナーシップ宣誓制度の拡充としてファミリーシップ制度を導入すること。
2022,2022-17-01,17,あらゆる暴力の根絶と支援の強化,1,ＤＶ被害者への安全確保と自立生活に向けた支援の充実については、民間シェルター、ステップハウスへの支援を充実し、ひとり親家庭等への支援施策との連携強化を図ること。
2022,2022-17-02,17,あらゆる暴力の根絶と支援の強化,2,性暴力被害者支援を充実強化すること。
2022,2022-18-01,18,エネルギーの地産地消の推進とみどり豊かな都市の創造,1,電力の入札評価に価格以外の再生可能エネルギー利用率や再生可能エネルギー利用量などの視点を取入れた総合評価方式とすること。
2022,2022-18-02,18,エネルギーの地産地消の推進とみどり豊かな都市の創造,2,再エネ１００宣言 ＲＥ Ａｃｔｉｏｎにおける「広域的再生可能エネルギー電力供給１００％」を実現するため、東日本連携をシンカさせること。
2022,2022-19-01,19,災害時に命と暮らしをまもる地区防災力の強化向上,1,災害時要配慮者安全対策の要員として助産師が主体的に活動できるよう、さいたま市助産師会と協定を締結すること。
2022,2022-19-02,19,災害時に命と暮らしをまもる地区防災力の強化向上,2,内水氾濫を制御するためのやむを得ない状況に対応するため、水のうを利用した道路・公園等への一時貯留を行うための社会実験等を行うこと。
2022,2022-19-03,19,災害時に命と暮らしをまもる地区防災力の強化向上,3,避難所運営を通じた中学校における防災教育を推進すること。
2022,2022-19-04,19,災害時に命と暮らしをまもる地区防災力の強化向上,4,一時的に雨水の貯留量を増やすため、台風接近時に公園等の池の水の事前放流を行うこと。
2022,2022-20-01,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,1,自転車を活用したまちづくりを推進するための拠点施設「サイクルパーク」を整備すること。
2022,2022-20-02,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,2,西浦和駅周辺のまちづくりを推進すること。
2022,2022-20-03,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,3,免許返納者への支援事業（タクシー券の配布やバスの無料券の配布など）。
2022,2022-20-04,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,4,エレベーター設置可能な公民館について、整備年次計画を立て、速やかに整備を完了させること。
2022,2022-20-05,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,5,市内鉄道駅において無人化によってあらゆる人の移動の自由が制限されることのないよう常設のスロープの設置等を行うこと。
2022,2022-20-06,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,6,国土交通省の踏切安全通行カルテや地元要望等に基づく危険な踏切の改良促進、及び乗馬踏切、工場裏踏切、末広踏切における改良道促進協議会を積極的に開催し、早急な安全対策を実施すること。
2022,2022-20-07,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,7,産業集積拠点・（仮称）農業及び食の流通・観光産業拠点の整備に合わせて、国道１６号線の立体交差化など渋滞解消に向けて国に要望すること。
2022,2022-20-08,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,8,地下鉄７号線延伸に向け、成長目標である岩槻駅周辺の定住人口の目標値を確実に達成するため、新たな施策（空き家解消重点地区の設定と空き家解体補助制度の創設など）に取り組むこと。
2022,2022-20-09,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,9,市内バス廃止検討路線への補助金を支給すること。
2022,2022-20-10,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,10,コミュニティバスについて、地域のニーズがさらに高まっていることから、運賃、運行頻度、運行日などをより市民が利用しやすい形に改善するとともに、コミュニティバス等導入ガイドラインで定められる事業採算性などの点を地域の実情に即した形に改善すること。
2022,2022-20-11,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,11,都市計画道路において既存の歩道と新設の歩道が直接延伸できる場合に限り、部局を超えて他の計画や予算を弾力的に運用し、用地を取得、整備すること。
2022,2022-20-12,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,12,加３４排水路を整備すること。
2022,2022-21-01,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,1,荒川河川敷の公園群の回遊性を向上させ、日本有数の大規模都市公園として県内外に発信し、観光地化を推進すること。
2022,2022-21-02,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,2,河川に沿ったサイクリングロードの整備とネットワーク化を進めること。
2022,2022-21-03,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,3,沼影県職員住宅跡地利用については、身近な公園の早期整備ができるよう埼玉県との協議を速やかに終えること。
2022,2022-21-04,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,4,森林環境譲与税について、荒川流域など県内の他の自治体との間での連携・協力などの中で使用すること。
2022,2022-21-05,21,荒川や見沼田圃など水辺と緑地空間の保全・活用および公園、多目的広場の充実,5,猿花キャンプ場の「みんなのトイレ」の設置と設備の更新を行うこと。
2022,2022-22-01,22,さいたま市の特徴・強みを活かした経済活性化,1,スポーツシューレに必要不可欠な宿泊・研修施設を備えた拠点整備に向けた検討をすること。
2022,2022-22-02,22,さいたま市の特徴・強みを活かした経済活性化,2,周辺のまちづくりと連携した田島産業集積拠点の整備を促進すること。
2022,2022-22-03,22,さいたま市の特徴・強みを活かした経済活性化,3,新しい働き方をデザインする超短時間雇用ＩＤＥＡモデルの研究し、本市へ反映させること。
